Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol.;Perubahan%
01/01/2018;75,86;75,86;75,86;75,86;0,17K;6,43%
01/02/2018;77,46;74,55;74,55;74,55;0,02K;2,11%
01/03/2018;69,7;76,52;76,52;76,52;0,09K;-10,02%
01/04/2018;65,27;65,27;65,27;65,27;0,16K;-6,36%
01/05/2018;65,95;65,95;65,95;65,95;0,12K;1,04%
01/06/2018;64,8;64,8;64,8;64,8;0,10K;-1,74%
01/07/2018;64,35;64,35;64,35;64,35;0,09K;-0,69%
01/08/2018;67,16;67,16;67,16;67,16;0,01K;4,37%
01/09/2018;68,73;68,73;68,73;68,73;0,06K;2,34%
01/10/2018;72,81;72,81;72,81;72,81;0,23K;5,94%
01/11/2018;72,28;72,28;72,28;72,28;0,03K;-0,73%
01/12/2018;69,2;66,77;66,81;66,77;0,00K;-4,26%
01/01/2019;76,03;76,03;76,03;76,03;1,99K;9,87%
01/02/2019;87,33;86,99;86,99;86,99;0,00K;14,86%
01/03/2019;85,7;85,7;85,7;85,7;0,03K;-1,87%
01/04/2019;93,24;93,24;93,24;93,24;;8,80%
01/05/2019;98,76;98,76;98,76;98,76;;5,92%
01/06/2019;109,18;109,18;109,18;109,18;0,10K;10,55%
01/07/2019;120,02;120,02;120,02;120,02;;9,93%
01/08/2019;90,91;90,91;90,91;90,91;0,05K;-24,25%
01/09/2019;92,91;92,91;92,91;92,91;0,07K;2,20%
01/10/2019;89,55;89,55;89,55;89,55;0,04K;-3,62%
01/11/2019;84,68;84,68;84,68;84,68;;-5,44%
01/12/2019;91,53;91,53;91,53;91,53;0,02K;8,09%
01/01/2020;92,44;92,44;92,44;92,44;;0,99%
01/02/2020;86,46;86,46;86,46;86,46;0,02K;-6,47%
01/03/2020;88,02;88,02;88,02;88,02;0,18K;1,80%
01/04/2020;83,84;83,84;83,84;83,84;0,14K;-4,75%
01/05/2020;92,05;92,05;92,05;92,05;;9,79%
01/06/2020;102,95;102,95;102,95;102,95;0,00K;11,84%
01/07/2020;108,9;108,9;108,9;108,9;;5,78%
01/08/2020;122,53;122,53;122,53;122,53;;12,52%
01/09/2020;123,98;123,98;123,98;123,98;;1,18%
01/10/2020;120,19;120,19;120,19;120,19;0,08K;-3,06%
01/11/2020;124,62;124,62;124,62;124,62;0,10K;3,69%
01/12/2020;155,84;155,84;155,84;155,84;0,04K;25,05%
01/01/2021;168,13;164,44;164,44;164,44;0,11K;7,89%
01/02/2021;165,61;165,61;165,61;165,61;0,08K;-1,50%
01/03/2021;166,9;166,9;166,9;166,9;0,11K;0,78%
01/04/2021;179,63;179,63;179,63;179,63;0,07K;7,63%
01/05/2021;205,73;205,73;205,73;205,73;0,11K;14,53%
01/06/2021;214,55;214,55;214,55;214,55;0,04K;4,29%
01/07/2021;211,99;211,8;211,8;211,8;0,05K;-1,19%
01/08/2021;159,25;159,25;159,25;159,25;;-24,88%
01/09/2021;119,65;119,65;119,65;119,65;0,35K;-24,87%
01/10/2021;121,23;121,23;121,23;121,23;0,13K;1,32%
01/11/2021;94,97;94,97;94,97;94,97;;-21,66%
01/12/2021;112,5;112,5;112,5;112,5;;18,46%
01/01/2022;131,15;131,15;131,15;131,15;0,30K;16,58%
01/02/2022;141,99;141,99;141,99;141,99;0,04K;8,27%
01/03/2022;150,84;150,84;150,84;150,84;0,03K;6,23%
01/04/2022;150,77;150,77;150,77;150,77;;-0,05%
01/05/2022;133,51;133,51;133,51;133,51;;-11,45%
01/06/2022;130;130;130;130;0,15K;-2,63%
01/07/2022;107,22;107,22;107,22;107,22;;-17,52%
01/08/2022;104,76;104,76;104,76;104,76;;-2,29%
01/09/2022;98,31;98,31;98,31;98,31;;-6,16%
01/10/2022;92,43;92,43;92,43;92,43;;-5,98%
01/11/2022;93,25;93,25;93,25;93,25;;0,89%
01/12/2022;111,28;111,28;111,28;111,28;0,03K;19,34%
01/01/2023;123,37;123,37;123,37;123,37;;10,86%
01/02/2023;125,75;125,75;125,75;125,75;0,10K;1,93%
01/03/2023;127,06;127,06;127,06;127,06;0,05K;1,04%
01/04/2023;116,14;116,14;116,14;116,14;0,03K;-8,59%
01/05/2023;105,07;105,07;105,07;105,07;;-9,53%
01/06/2023;112,57;112,57;112,57;112,57;;7,14%
01/07/2023;112,46;112,46;112,46;112,46;;-0,10%
01/08/2023;109,4;109,4;109,4;109,4;;-2,72%
01/09/2023;120,79;120,79;120,79;120,79;;10,41%
01/10/2023;118,91;118,91;118,91;118,91;;-1,56%
01/11/2023;130,46;130,46;130,46;130,46;;9,71%
01/12/2023;136,37;136,37;136,37;136,37;;4,53%
01/01/2024;135,13;135,13;135,13;135,13;;-0,91%
01/02/2024;124,86;124,86;124,86;124,86;;-7,60%
01/03/2024;109,53;109,53;109,53;109,53;;-12,28%
01/04/2024;110,91;110,91;110,91;110,91;;1,26%
